"word","buyer","total_amount"
"airbus","Canadian Space Agency",4467391
"airbus","Fisheries and Oceans Canada",35241
"airbus","National Defence",3747059046
"airbus","National Research Council Canada",42924
"airbus","Royal Canadian Mounted Police",5506803
"airbus","Shared Services Canada",1625799
"airbus","Transport Canada",39724
"atomics","National Defence",1792979385
"bell","Agriculture and Agri-Food Canada",6764198
"bell","Canada Border Services Agency",6539244
"bell","Canada Economic Development for Quebec Regions",438698
"bell","Canada Energy Regulator",40000
"bell","Canada Revenue Agency",702137
"bell","Canadian Grain Commission",63178
"bell","Canadian Heritage",227381
"bell","Canadian Human Rights Commission",219812
"bell","Canadian Institutes of Health Research",245018
"bell","Canadian Radio-television and Telecommunications Commission",148609
"bell","Canadian Space Agency",28808
"bell","Canadian Transportation Agency",864518
"bell","Correctional Service of Canada",351443
"bell","Courts Administration Service",391655
"bell","Crown-Indigenous Relations and Northern Affairs Canada",1391105
"bell","Department of Justice Canada",2089016
"bell","Elections Canada",9127140
"bell","Employment and Social Development Canada",5346445
"bell","Environment and Climate Change Canada",29288
"bell","Financial Consumer Agency of Canada",1084613
"bell","Fisheries and Oceans Canada",57643887
"bell","Global Affairs Canada",5953547
"bell","Health Canada",12204
"bell","Indigenous Services Canada",673846
"bell","Infrastructure Canada",519181
"bell","International Joint Commission",36612
"bell","National Defence",3129036306
"bell","National Film Board",354586
"bell","National Research Council Canada",1185022
"bell","National Security and Intelligence Review Agency",11657
"bell","Natural Resources Canada",1059799
"bell","Natural Sciences and Engineering Research Council of Canada",43506
"bell","Office of the Auditor General of Canada",160000
"bell","Office of the Commissioner for Federal Judicial Affairs Canada",227130
"bell","Office of the Commissioner of Lobbying of Canada",106127
"bell","Office of the Commissioner of Official Languages",21597
"bell","Office of the Privacy Commissioner of Canada",236369
"bell","Office of the Public Sector Integrity Commissioner of Canada",85503
"bell","Office of the Superintendent of Financial Institutions Canada",2512743
"bell","Parks Canada",2166508
"bell","Parole Board of Canada",1254310
"bell","Polar Knowledge Canada",67145
"bell","Privy Council Office",830343
"bell","Public Health Agency of Canada",984353
"bell","Public Prosecution Service of Canada",1950139
"bell","Public Safety Canada",657790
"bell","Public Services and Procurement Canada",2477854
"bell","Royal Canadian Mounted Police",43896151
"bell","Shared Services Canada",488358547
"bell","Social Sciences and Humanities Research Council of Canada",43506
"bell","Statistics Canada",397613
"bell","The Correctional Investigator Canada",49987
"bell","Transport Canada",13943783
"bell","Women and Gender Equality Canada",812288
"cae","Canada Energy Regulator",105735
"cae","Employment and Social Development Canada",557485
"cae","National Defence",4596591120
"cae","Public Health Agency of Canada",282500000
"cae","Transport Canada",220509
"dettwiler","Canadian Space Agency",2234491128
"dettwiler","National Defence",458346
"dynamics","Canada Border Services Agency",49328
"dynamics","Canada Economic Development for Quebec Regions",12007
"dynamics","Correctional Service of Canada",148482
"dynamics","Department of Justice Canada",136932
"dynamics","Employment and Social Development Canada",18150
"dynamics","Environment and Climate Change Canada",1839704
"dynamics","Fisheries and Oceans Canada",1990192
"dynamics","Global Affairs Canada",2010512
"dynamics","Health Canada",400066
"dynamics","Immigration, Refugees and Citizenship Canada",27062
"dynamics","Innovation, Science and Economic Development Canada",968570
"dynamics","National Defence",2705571886
"dynamics","National Research Council Canada",77040
"dynamics","Natural Resources Canada",170445
"dynamics","Parks Canada",15305
"dynamics","Privy Council Office",81369
"dynamics","Public Safety Canada",79990
"dynamics","Public Services and Procurement Canada",638905
"dynamics","Royal Canadian Mounted Police",2678936
"dynamics","Shared Services Canada",9238772
"dynamics","Transport Canada",139697
"dynamics","Treasury Board of Canada Secretariat",11004
"f35","National Defence",4322729867
"skyalyne","National Defence",11219370646
"textron","Fisheries and Oceans Canada",57137242
"textron","National Defence",3080971748
"textron","Transport Canada",12546399
"vancouver shipyards","Fisheries and Oceans Canada",2005312995
"vancouver shipyards","National Defence",3397492439
